gene,tractability_score,novelty_score,ot_sm_approved_drug,ot_sm_druggable_family,ot_sm_hq_pocket,ot_sm_struct_ligand,ot_drug_count,dgidb_n_drugs,dgidb_n_approved_drugs,chembl_target_id,chembl_n_potent,chembl_action_types,has_inhibitor_moa,uniprot_acc,uniprot_kinase,uniprot_enzyme,uniprot_membrane,uniprot_loc
NUP155,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
SNAPC1,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
FARSA,0.6,1.0,False,False,True,True,0,0,0,,0,,False,,False,False,False,
ANAPC4,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
MED28,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
PSMB7,0.8,0.0,True,True,False,True,7,7,5,CHEMBL3347256,2,,False,Q99436,False,True,False,Cytoplasm;Nucleus
USP10,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
WDR77,0.6,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
CDS2,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
TARS1,0.8,1.0,False,True,False,True,0,0,0,,0,,False,,False,False,False,
SEPSECS,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
UFM1,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
ZFP36L1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
NVL,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
MMS19,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
PSMA1,0.0,0.0,False,False,False,False,0,7,5,CHEMBL4879432,1,,False,P25786,False,False,False,Cytoplasm;Nucleus
PWP1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
TBCB,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
OSBP,0.6,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
TRAPPC1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
XAB2,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
NOP10,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
RPS25,0.6,0.0,True,False,False,True,5,9,1,CHEMBL6067565,1,,False,P62851,False,False,False,Cytoplasm
NOPCHAP1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
POLE2,0.25,0.0,True,False,False,True,7,6,4,,0,,False,P56282,False,False,False,Nucleus
RPS3,0.6,0.0,True,False,False,True,5,9,1,CHEMBL6066939,2,,False,P23396,False,True,True,"Cytoplasm;Nucleus;Nucleus, nucleolus"
TEAD1,0.8,0.0,False,False,False,True,0,3,1,CHEMBL3334416,136,,False,P28347,False,False,False,Nucleus
LONP1,0.6,1.0,False,False,True,True,0,1,0,,0,,False,,False,False,False,
ALDOA,0.6,1.0,False,False,True,True,0,0,0,,0,,False,,False,False,False,
SF3A2,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
UTP6,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
EIF3E,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
NOP56,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
TRAPPC4,0.35,1.0,False,False,True,False,0,0,0,,0,,False,,False,False,False,
NSL1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
FXN,0.25,0.0,False,False,False,True,0,2,2,CHEMBL2321640,0,,False,Q16595,False,True,False,"Mitochondrion;Cytoplasm, cytosol"
HINFP,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
GPN1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
NHP2,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
NELFB,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
VCP,1.0,0.0,False,True,True,True,0,3,1,CHEMBL1075145,435,,False,P55072,False,True,False,"Cytoplasm, cytosol;Endoplasmic reticulum;Nucleus"
SAP18,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
CSE1L,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
MSTO1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
TIMM22,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
SGO1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
RPS16,0.6,0.0,True,False,False,True,5,9,1,CHEMBL6067569,2,,False,P62249,False,False,False,"Cytoplasm;Nucleus, nucleolus"
PSMB4,0.8,0.0,True,True,False,True,7,7,5,CHEMBL4879435,0,,False,P28070,False,False,False,Cytoplasm;Nucleus
GGPS1,1.0,0.0,False,True,False,True,0,21,2,CHEMBL4769,153,,False,O95749,False,True,False,"Cytoplasm;Cytoplasm, perinuclear region;Cytoplasm, myofibril, sarcomere, Z line"
HSPA9,0.6,1.0,False,False,False,True,0,1,0,,0,,False,,False,False,False,
ARF4,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
INTS8,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
MED31,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
ORC4,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
POLR1E,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
MED17,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
AK6,0.6,1.0,False,False,True,True,0,0,0,,0,,False,,False,False,False,
NCKAP1,0.6,1.0,False,False,True,True,0,0,0,,0,,False,,False,False,False,
MTOR,1.0,0.0,True,True,False,True,26,164,38,CHEMBL2842,4794,INHIBITOR,True,P42345,True,True,True,Lysosome membrane;Endoplasmic reticulum membrane;Golgi apparatus membrane
RANBP3,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
TUBGCP6,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
TLN1,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
RNF4,0.0,1.0,False,False,False,False,0,0,0,,0,,False,,False,False,False,
CLNS1A,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
ZNF593,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
RAE1,0.35,1.0,False,False,True,False,0,0,0,,0,,False,,False,False,False,
WDHD1,0.25,1.0,False,False,False,True,0,0,0,,0,,False,,False,False,False,
