gene,glioma_mean,rest_mean,diff,cohens_d,t,p,fdr,is_common_essential,pan_ess_fraction,glioma_dep_fraction,neglog_fdr,dependency_score,archetype
PDCL3,-0.4798587878892697,-0.37405697982640085,-0.10580180806286887,-0.6303712354745759,-5.04318699794143,2.8019149973267755e-06,0.00019307349650810195,False,0.22835314091680814,0.4722222222222222,3.7142773383918426,0.30248917697509137,subset-dep
BRAT1,-0.6061829202726846,-0.39219834989931723,-0.21398457037336738,-0.6287922511287688,-5.0110022387769915,3.1873170010604618e-06,0.00021459809407719643,False,0.3684210526315789,0.6388888888888888,3.668374139478326,0.38116312303407235,pan-glioma-dep
FAM50A,-0.8286187150151437,-0.5147317894608022,-0.3138869255543415,-0.6249108970387537,-5.358742644889384,7.611359840542749e-07,6.684564848194309e-05,False,0.41086587436332767,0.6805555555555556,4.174926859184212,0.5178128645032128,pan-glioma-dep
HAUS3,-1.3271755234919438,-1.163478633407096,-0.1636968900848479,-0.6224872137734083,-4.657866047499253,1.2793989223180025e-05,0.000600594961880269,True,0.9881154499151104,1.0,3.221418315221912,0.8261497938067647,pan-glioma-dep
KIF18A,-1.6780320022600173,-1.2791440853120124,-0.39888791694800485,-0.6203374674713164,-5.5629315257195575,3.187420526552983e-07,3.136467534086684e-05,True,0.8853989813242784,0.9722222222222222,4.503559203532347,1.0409461226178014,pan-glioma-dep
SYS1,-1.4065174589378338,-1.1090636357210637,-0.29745382321677005,-0.6136104075734583,-5.744383790829901,1.4399159465280844e-07,1.573020371829095e-05,True,0.8947368421052632,1.0,4.803265652891225,0.8630537512380291,pan-glioma-dep
POP7,-0.9646008092210584,-0.7673787977405349,-0.19722201148052354,-0.6131054481187495,-5.677402540661305,1.9276648139174402e-07,1.9963030523783152e-05,True,0.8242784380305602,0.9583333333333334,4.699773529188339,0.5914020113931854,pan-glioma-dep
SNRPB2,-1.0105966525891872,-0.72426708843851,-0.28632956415067723,-0.6122982160762201,-4.517318984845857,2.1819714296609138e-05,0.0008945583554646438,False,0.6604414261460102,0.8333333333333334,3.0483913234815825,0.6187865275529589,pan-glioma-dep
SEC62,-0.4975633719378044,-0.37065416479388086,-0.12690920714392356,-0.6121021982941505,-4.78676708007409,7.705730760043079e-06,0.00041708722748317765,False,0.2495755517826825,0.3888888888888889,3.3797731094073664,0.3045596337537801,subset-dep
LYRM4,-1.427190300443157,-1.2102474095754887,-0.21694289086766827,-0.6114622996476407,-5.979213963333592,5.0656051007222974e-08,6.547472685788573e-06,True,0.9753820033955858,1.0,5.183926304653176,0.8726730631437799,pan-glioma-dep
C19orf53,-0.7840804425191616,-0.5997186701817749,-0.1843617723373867,-0.6089897855810361,-4.706015677186498,1.0550488968946285e-05,0.0005265252377928736,False,0.6434634974533107,0.8055555555555556,3.2785808070587614,0.47749698056802814,pan-glioma-dep
TAF1C,-1.2616961029126992,-1.0687907535550603,-0.19290534935763892,-0.608097497604393,-6.133209324609182,2.5073014651657707e-08,3.6226462137024153e-06,True,0.965195246179966,1.0,5.440974076934038,0.7672342429184271,pan-glioma-dep
SBDS,-2.067272358907323,-1.744906965830422,-0.32236539307690104,-0.606074595603637,-5.0092767339305855,3.1629098746921177e-06,0.00021383657854710935,True,0.9898132427843803,1.0,3.6699180030450003,1.2529212589273324,pan-glioma-dep
KRTAP21-1,-0.46311271601042137,-0.3156036763492358,-0.14750903966118556,-0.6038714496908402,-3.384301729335615,0.0016249455393697856,0.019683924464739065,False,0.07640067911714771,0.20833333333333334,1.705888310200137,0.2796605471874755,subset-dep
INTS12,-0.6355423272050373,-0.4700949541764961,-0.16544737302854123,-0.5989213179668159,-5.182065806554574,1.5527612687351665e-06,0.00011991065039077259,False,0.48811544991511036,0.6805555555555556,3.921142241417217,0.38063984823333835,pan-glioma-dep
DDX51,-1.0554935135070123,-0.8926236011324792,-0.16286991237453308,-0.5988291793419375,-4.499395533213862,2.3230906010703923e-05,0.000933194870151954,True,0.9363327674023769,0.9861111111111112,3.0300276572237874,0.6320603144941424,pan-glioma-dep
DDX55,-1.1707941121116738,-0.9952147181872926,-0.17557939392438127,-0.5946785025536105,-5.5999779148392275,2.636143302257684e-07,2.638499631466406e-05,True,0.9558573853989814,0.9861111111111112,4.578642962147126,0.6962460893891542,pan-glioma-dep
PRKRA,-0.9662097490623371,-0.6762699157809112,-0.2899398332814259,-0.5910458212163545,-3.926239086285547,0.00018690625578389775,0.004260321219623807,True,0.566213921901528,0.7638888888888888,2.3705576547351193,0.5710742346017968,pan-glioma-dep
PREB,-1.3245060720293798,-1.1855387230275598,-0.13896734900181995,-0.5884749603404855,-3.7970365825558465,0.00029180265087014264,0.005808818103321639,True,0.9957555178268251,1.0,2.2359122227595303,0.7794386582082216,pan-glioma-dep
TAF1A,-0.8514352868218209,-0.7352575142962677,-0.11617777252555317,-0.5878582515876799,-4.620358397628608,1.455355094509124e-05,0.0006584379260915522,True,0.9134125636672326,0.9583333333333334,3.181485161668958,0.5005232590511304,pan-glioma-dep
CCT4,-2.3431451359003566,-2.148488385645079,-0.19465675025527762,-0.5863866249769962,-4.994047083215779,3.317316331658186e-06,0.00021823505309811843,True,1.0,1.0,3.6610754913992536,1.3739889680718753,pan-glioma-dep
