gene,glioma_mean,rest_mean,diff,cohens_d,t,p,fdr,is_common_essential,pan_ess_fraction,glioma_dep_fraction
MAGEF1,-0.03293472535354135,-0.015225869364973148,-0.0177088559885682,-0.11928175634039981,-1.1866538227219188,0.23863374071604948,0.4730995146257396,False,0.0008488964346349745,0.0
MAGEH1,-0.07473296525745729,-0.12153187337079391,0.04679890811333662,0.3431706372013769,3.7576632372594156,0.00030441546385919654,0.006013128390850458,False,0.011884550084889643,0.0
MAGI1,-0.02476942389830081,-0.01452613771789663,-0.01024328618040418,-0.1000873202765189,-0.7897683274403396,0.43200798567580334,0.6612385241817641,False,0.0,0.0
MAGI2,-0.030608815317373337,-0.030227787161052018,-0.000381028156321319,-0.0038462971186703962,-0.029498265831880616,0.976541509027008,0.9889614875206532,False,0.0008488964346349745,0.0
MAGI3,-0.0652042172264236,-0.06237739014381942,-0.0028268270826041775,-0.028813693457162642,-0.21815407307926973,0.8278726507895554,0.9187417251948511,False,0.0008488964346349745,0.0
MAGIX,0.012552354933380824,-0.01463833976133681,0.027190694694717632,0.2067953886414977,1.88995225041223,0.062245978364433956,0.21199665910711477,False,0.0008488964346349745,0.013888888888888888
MAGOH,-0.8627194777184667,-0.9812023382258099,0.11848286050734325,0.26679900881860347,2.243584113511923,0.027587846186960745,0.12768376447573979,True,0.8692699490662139,0.8194444444444444
MAGOHB,-0.030015874108522293,-0.029445447598356593,-0.0005704265101657002,-0.0036342733803105386,-0.040587543116736076,0.9677138069599232,0.9852189085156424,False,0.00933786078098472,0.0
MAGT1,-0.12058309737478184,-0.10536187471799886,-0.015221222656782982,-0.11144639008829657,-1.0746831508605184,0.2855622086217449,0.5246825818596507,False,0.011035653650254669,0.0
MAIP1,-0.09705949407456933,-0.09393100061530331,-0.003128493459266024,-0.024622863832530064,-0.21586506506025516,0.8296285193406511,0.9192293162831287,False,0.003395585738539898,0.0
MAJIN,-0.13248705040542288,-0.15983018499304588,0.027343134587622997,0.20988431166061386,1.7282737254982923,0.08777057062542348,0.2602610962140164,False,0.01867572156196944,0.0
