,sc_malignant_mean,sc_tme_max_mean,sc_tme_max_type,sc_tme_mean,sc_pct_malignant_expressing,sc_malignant_specificity,sc_tme_dominated_flag,sc_neoplastic_mean,sc_nonneoplastic_mean,sc_malignant_vs_tme_collapsed,sc_measured
USP36,0.06511574186685398,0.17355752230428784,mature T cell,0.07569963542252005,0.1396240619192133,-0.10844178043743385,False,0.06511580863573205,0.1192588896348841,-0.05414308099915205,True
PFDN1,0.29906012811301125,0.4920203449210536,radial glial cell,0.23976765453847207,0.43118388343880615,-0.19296021680804237,False,0.29906004578894796,0.22078484338795884,0.07827520240098912,True
SKA1,0.01962973989593683,0.032583655439792344,radial glial cell,0.007013103374907786,0.07077265705256389,-0.012953915543855516,False,0.019629741481392987,0.0050928727852361825,0.014536868696156804,True
HAUS4,0.02177977074815539,0.055036185257068326,macrophage,0.029081092936592414,0.050007449753373956,-0.03325641450891294,False,0.02177976686677922,0.041891284045958085,-0.020111517179178865,True
MED11,0.11561470562305202,0.12418702630868335,oligodendrocyte,0.08823194917650436,0.21562723002485865,-0.008572320685631324,False,0.1156147172297877,0.09764451859892001,0.017970198630867684,True
CCDC59,0.23507285822864465,0.35103486671029865,radial glial cell,0.20336722176806543,0.37237004101285276,-0.115962008481654,False,0.23507304750275687,0.19955359121034427,0.0355194562924126,True
CSH2,,,,,,,,,,,False
TSEN34,0.29136469326474285,0.2517629829044907,mural cell,0.11823562423508721,0.43393637126434076,0.039601710360252174,False,0.29136461190074053,0.11236379277656834,0.1790008191241722,True
DSCC1,0.038849928599003485,0.02632949365715382,mural cell,0.009492537942232876,0.08707585417303816,0.012520434941849665,False,0.03884990843725482,0.007724489475476784,0.031125418961778034,True
INTS9,0.02463714406446408,0.02475875489848906,mature T cell,0.015804853087810173,0.061158554277334715,-0.00012161083402497871,False,0.024637144273863952,0.016554054432368345,0.008083089841495607,True
PFDN4,0.32067333970743067,0.5740912610371002,radial glial cell,0.20887865964055818,0.4523176574838654,-0.2534179213296695,True,0.3206732889840514,0.1572926220530295,0.1633806669310219,True
EPRS1,0.23498805929913524,0.22488691410830058,mural cell,0.15417441283553684,0.3726209800738702,0.01010114519083466,False,0.23498807031693378,0.13763517272925793,0.09735289758767585,True
PTPMT1,0.19369040692942852,0.1605016100713242,oligodendrocyte,0.10091601776875601,0.3143011739242948,0.0331887968581043,False,0.19369030663062992,0.119056222769175,0.07463408386145491,True
TSEN54,0.0623474324875347,0.24362139482247203,natural killer cell,0.06964937152263964,0.12837885524737103,-0.1812739623349373,False,0.06234742364039018,0.08793704319027809,-0.025589619549887914,True
POLR1G,0.055588760197220116,0.038541197302786274,dendritic cell,0.025223307909638986,0.13644027258255503,0.01704756289443384,False,0.05558880641476292,0.0261432134741873,0.029445592940575624,True
PPRC1,0.02805312263112209,0.03971795006871896,mural cell,0.024552813226826536,0.07184698990754464,-0.011664827437596875,False,0.028053114372914703,0.027607380443175754,0.00044573392973894926,True
NBAS,0.06861662712379371,0.05915447652318701,radial glial cell,0.040210196053180915,0.1515122999349127,0.009462150600606699,False,0.06861659481264587,0.04112719651252944,0.02748939830011643,True
PFDN5,1.168231819932039,1.795937064743042,B cell,1.3968317846173786,0.8465037131139185,-0.627705244811003,True,1.1682330190678747,1.455699517915188,-0.28746649884731323,True
RINT1,0.06705992281623417,0.04198965487827341,endothelial cell,0.025852289954860885,0.13971816406709484,0.025070267937960765,False,0.06705994160239397,0.024417214641633496,0.04264272696076047,True
WWTR1,0.16727935073852854,0.5415715685925193,endothelial cell,0.07599191548025931,0.26067863332313895,-0.3742922178539908,True,0.16727943258396355,0.0162684141098062,0.15101101847415735,True
SOCS3,0.3062157866897237,0.6639721016711095,monocyte,0.33531739735633087,0.31586954305565357,-0.3577563149813858,True,0.30621542579652583,0.36581392194622364,-0.05959849614969781,True
WBP11,0.19751672379479077,0.23297214112934173,mural cell,0.17136394019677212,0.3386736302256099,-0.03545541733455096,False,0.19751691333626176,0.1611638594719145,0.03635305386434726,True
ARMC5,0.04268433848843883,0.04110644217475471,mural cell,0.021153088597208155,0.10359862297190267,0.0015778963136841226,False,0.042684359068987245,0.0183001853761502,0.024384173692837043,True
DDX10,0.07236034914074937,0.11594705340443534,radial glial cell,0.05704384105968859,0.1478187906305628,-0.043586704263685966,False,0.07236035440285593,0.05503358761094081,0.017326766791915124,True
UFC1,0.43877819818947855,0.48531601513498057,radial glial cell,0.3920800265840976,0.5525834960516307,-0.04653781694550202,False,0.43877831887858953,0.3817237644364833,0.05705455444210622,True
CCT8,0.4275818011746895,0.7142739934474496,radial glial cell,0.3607616554127297,0.5305322260647266,-0.28669219227276005,True,0.4275817901082803,0.31335151277486994,0.11423027733341035,True
RSL1D1,0.3721905195088863,0.5603641963191928,radial glial cell,0.32583245103280495,0.5078222410426518,-0.18817367681030644,False,0.3721899197913971,0.3209692918771293,0.05122062791426779,True
ELMO2,0.06424151250329199,0.08488218055189005,oligodendrocyte,0.035234116859073183,0.13462096439017887,-0.020640668048598057,False,0.0642415615616385,0.03469007054305136,0.029551491018587145,True
HAUS1,0.13920689339988165,0.4470578401930442,radial glial cell,0.12084837982575398,0.24445385465923258,-0.3078509467931625,True,0.13920681873387075,0.09392216331413356,0.045284655419737196,True
MED26,0.03356534906306067,0.03628809585682041,dendritic cell,0.022250892335204036,0.07722649602810518,-0.0027227467937597435,False,0.03356535666128453,0.02536976311054001,0.00819559355074452,True
FOXK1,0.1182217381456917,0.10582268936264812,oligodendrocyte,0.057830352690050484,0.236643376385066,0.012399048783043584,False,0.11822198571710174,0.04749251291132021,0.07072947280578154,True
NOC3L,0.06725385011328257,0.09852916728511431,endothelial cell,0.06650200415051802,0.1412630076614832,-0.03127531717183174,False,0.06725392214777276,0.05302066193564708,0.014233260212125683,True
HAUS5,0.0506350315175432,0.03540487698604736,oligodendrocyte,0.02152016834277869,0.12241121070255095,0.015230154531495843,False,0.05063504581773144,0.019442248868496475,0.031192796949234967,True
HNRNPH1,0.6725048208071044,0.7826039432974897,mural cell,0.491472332136281,0.6454936833933235,-0.11009912249038534,False,0.6725052798116201,0.4259229892945395,0.24658229051708064,True
NOB1,0.11080514403766555,0.14213872406038475,radial glial cell,0.08378239153939453,0.21553312787697712,-0.0313335800227192,False,0.11080527362814063,0.07673145045344729,0.034073823174693346,True
HJV,1.8867081390130655e-06,0.0,macrophage,0.0,3.136738262717513e-05,1.8867081390130655e-06,False,1.8867081390130655e-06,0.0,1.8867081390130655e-06,True
NUP54,0.1145351310994976,0.11602558641154607,mural cell,0.07385583992800837,0.2196187294641667,-0.001490455312048472,False,0.11453512439963658,0.07265616549365458,0.04187895890598199,True
