gene,gtex_max_tpm,gtex_median_tpm,gtex_max_tissue,gtex_vital_organ_max,gtex_brain_max,gtex_brain_mean,gtex_nonbrain_max
NOL12,46.2783,15.820350000000001,Brain_Cerebellar_Hemisphere,17.9169,46.2783,16.498033846153845,44.9147
NOLC1,138.455,41.8127,Cells_EBV-transformed_lymphocytes,49.2278,81.1708,35.20103076923077,138.455
NOM1,17.2406,8.481455,Cells_Cultured_fibroblasts,9.868739999999999,8.53218,3.7521430769230766,17.2406
NOP10,349.749,121.68549999999999,Cells_Cultured_fibroblasts,208.055,75.3806,65.00273846153847,349.749
NOP2,61.5858,21.538,Cells_EBV-transformed_lymphocytes,27.4525,25.7176,12.070626153846156,61.5858
NOP56,117.45,40.411699999999996,Cells_EBV-transformed_lymphocytes,43.7241,82.35600000000001,34.37371538461538,117.45
NOPCHAP1,2.93902,1.00521,Cells_EBV-transformed_lymphocytes,0.8705780000000001,2.05668,1.1457571538461537,2.93902
NSL1,19.4196,8.60331,Brain_Spinal_cord_cervical_c-1,8.6804,19.4196,9.714764615384615,18.3024
NUBP2,41.8551,26.6077,Brain_Cerebellum,26.9177,41.8551,19.54616153846154,39.1815
NUP155,55.9618,5.80007,Testis,6.50197,8.0805,3.123847692307692,55.9618
NUP35,29.3647,8.107915,Testis,8.14685,10.398,4.78458,29.3647
NUP54,38.1,22.932650000000002,Cells_Cultured_fibroblasts,24.0272,33.5986,12.239720769230768,38.1
NVL,22.9033,11.2893,Brain_Cerebellar_Hemisphere,12.7635,22.9033,7.998801538461539,19.4824
ODR4,28.2389,15.7162,Thyroid,19.3105,19.1314,10.983663076923076,28.2389
ORC4,21.4482,7.937125,Brain_Cerebellar_Hemisphere,8.47377,21.4482,8.89438,14.6678
OSBP,69.5727,34.248400000000004,Adrenal_Gland,38.5052,34.4149,17.607561538461542,69.5727
PAK1IP1,48.0303,15.3272,Prostate,15.9664,19.430999999999997,11.976782307692307,48.0303
PDCD2,30.3422,14.4979,Cells_EBV-transformed_lymphocytes,17.305999999999997,12.9482,8.09486076923077,30.3422
PDCD5,103.656,50.20625,Cells_Cultured_fibroblasts,61.7259,77.0623,45.21445384615384,103.656
PDCL3,36.9194,17.1514,Artery_Tibial,21.6149,18.9919,12.09312076923077,36.9194
PDGFRA,217.52599999999998,19.37445,Ovary,60.9157,16.7691,9.36069153846154,217.52599999999998
PELP1,63.5099,27.80035,Testis,25.7764,54.2249,29.273938461538457,63.5099
PES1,91.4293,33.75075,Cells_Cultured_fibroblasts,36.9099,26.8177,18.35809230769231,91.4293
PFDN1,94.1864,60.744150000000005,Cells_Cultured_fibroblasts,71.943,93.2875,63.94055384615385,94.1864
PFDN4,34.1758,14.1115,Cells_Cultured_fibroblasts,10.8179,23.4654,15.7585,34.1758
PFDN5,938.711,460.61850000000004,Ovary,535.3380000000001,482.144,354.8291538461539,938.711
PNO1,33.1012,13.272950000000002,Cells_EBV-transformed_lymphocytes,15.4949,10.5326,8.413004615384615,33.1012
POLE2,13.3122,1.072125,Cells_EBV-transformed_lymphocytes,1.53841,1.10077,0.45587669230769223,13.3122
POLR1E,49.7175,14.93805,Cells_EBV-transformed_lymphocytes,18.6492,14.4614,9.085598461538464,49.7175
POLR1G,7.148630000000001,2.5069999999999997,Cells_Cultured_fibroblasts,2.3728700000000003,6.74679,3.2549892307692305,7.148630000000001
POLR1H,109.82700000000001,38.21665,Cells_EBV-transformed_lymphocytes,52.0234,27.495,15.950792307692307,109.82700000000001
POP7,80.3228,37.79085,Brain_Cerebellar_Hemisphere,34.983000000000004,80.3228,42.708999999999996,75.4349
POTEI,1.21878,0.012340900000000002,Testis,0.0607375,0.0103782,0.005469574615384615,1.21878
PPAN,131.015,25.35095,Cells_EBV-transformed_lymphocytes,25.6812,33.4707,16.055758461538463,131.015
PPP1CB,334.555,71.5161,Artery_Tibial,122.165,69.9257,53.83961538461539,334.555
PPP1R12A,150.891,30.03845,Artery_Tibial,46.3811,26.1476,14.282956153846158,150.891
PPP2R1A,181.18900000000002,94.5858,Brain_Cerebellum,99.9416,181.18900000000002,105.53883846153846,148.109
PPRC1,35.7105,18.2054,Cells_EBV-transformed_lymphocytes,30.4464,14.335,6.547403076923077,35.7105
PREB,133.408,59.839,Uterus,77.2925,71.4374,34.70691538461538,133.408
PRKAR1A,152.64700000000002,89.00165,Artery_Tibial,121.219,126.19,80.48410769230769,152.64700000000002
PRKRA,67.7091,36.0138,Artery_Tibial,35.5649,43.6404,25.227761538461543,67.7091
PSMA1,164.7,70.83019999999999,Cells_EBV-transformed_lymphocytes,96.443,63.1176,40.16399230769231,164.7
PSMA2,121.792,34.10915,Cells_EBV-transformed_lymphocytes,42.5178,28.0195,18.61569230769231,121.792
PSMB4,509.32199999999995,299.02,Cells_EBV-transformed_lymphocytes,324.60400000000004,319.935,204.084,509.32199999999995
PSMB7,185.123,92.794,Testis,97.0013,104.999,79.65488461538462,185.123
PSMG4,7.465489999999999,3.9797200000000004,Fallopian_Tube,4.37069,6.49483,3.082476923076923,7.465489999999999
PSTK,7.53297,2.405665,Testis,2.16111,4.66956,3.4882430769230766,7.53297
PTK2,51.6905,18.29025,Artery_Tibial,22.4448,28.6309,19.80726153846154,51.6905
PTPMT1,64.018,15.8552,Testis,20.213,17.8884,15.6021,64.018
PTPN11,111.383,49.95095,Cells_Cultured_fibroblasts,45.5861,108.68299999999999,62.079238461538466,111.383
PWP1,77.7777,33.234899999999996,Cells_Cultured_fibroblasts,32.896,43.5347,21.649507692307687,77.7777
RAB1A,276.258,129.9305,Cells_Cultured_fibroblasts,201.895,156.92600000000002,91.70776153846154,276.258
RABGGTB,58.6586,23.696649999999998,Cells_EBV-transformed_lymphocytes,40.1167,24.4166,14.276134615384617,58.6586
RAC1,372.56800000000004,204.103,Esophagus_Mucosa,263.05400000000003,351.236,200.58300000000003,372.56800000000004
RAE1,102.134,17.133499999999998,Testis,15.9061,35.8519,14.587726153846152,102.134
RANBP3,65.5193,35.11915,Testis,38.4806,47.9819,27.274146153846154,65.5193
RINT1,23.4477,12.6064,Cells_Cultured_fibroblasts,15.7175,21.1418,7.347411538461539,23.4477
RNF4,60.49100000000001,23.272,Cells_EBV-transformed_lymphocytes,27.1468,30.7566,15.058243846153845,60.49100000000001
