gene,f_dep_selectivity,f_dep_breadth,f_pan_ess_penalty,f_sl_strength,f_sl_breadth,f_sc_specificity,f_sc_tme_penalty,f_tumor_enrichment,f_tumor_prevalence,f_safety,f_tractability,f_novelty,cat_dependency,cat_selectivity,cat_synthetic_lethality,cat_tumor_specificity,cat_tumor_enrichment,cat_therapeutic_window,cat_tractability,baseline_composite
NUBP2,0.42402826855123676,0.9166666666666666,0.2920203735144312,0.0,0.0,0.960431654676259,1.0,0.5371024734982333,0.9477124183006536,0.5394581861012956,0.0,1.0,0.6703474676089517,0.2920203735144312,0.0,0.9802158273381295,0.7424074458994434,0.5394581861012956,0.0,0.46063561435175016
IMP3,0.4204946996466431,1.0,0.007640067911714787,0.0,0.0,0.4244604316546763,1.0,0.36042402826855124,0.915032679738562,0.4852767962308599,0.25,1.0,0.7102473498233215,0.007640067911714787,0.0,0.7122302158273381,0.6377283540035565,0.4852767962308599,0.25,0.4004461119709701
ARFRP1,0.4169611307420495,0.9305555555555556,0.20797962648556878,0.0,0.0,0.7194244604316546,1.0,0.0812720848056537,0.2941176470588235,0.4428739693757362,0.0,1.0,0.6737583431488026,0.20797962648556878,0.0,0.8597122302158273,0.1876948659322386,0.4428739693757362,0.0,0.33885986216545333
ARHGAP11A,0.4134275618374558,0.2361111111111111,0.8556876061120544,0.0,0.0,0.7338129496402878,1.0,0.9611307420494699,0.9803921568627452,0.934040047114252,0.0,1.0,0.32476933647428347,0.8556876061120544,0.0,0.8669064748201438,0.9707614494561075,0.934040047114252,0.0,0.5645949877109773
CIR1,0.4098939929328622,0.4166666666666667,0.7461799660441426,0.0,0.0,0.24820143884892087,1.0,0.11307420494699646,0.4836601307189542,0.3144876325088339,0.25,1.0,0.4132803297997645,0.7461799660441426,0.0,0.6241007194244604,0.29836716783297534,0.3144876325088339,0.25,0.37805940223002527
MIS18BP1,0.40636042402826855,0.9722222222222222,0.06366723259762319,0.0,0.0,0.14028776978417265,0.0,0.823321554770318,0.9411764705882352,0.6749116607773852,0.0,1.0,0.6892913231252453,0.06366723259762319,0.0,0.07014388489208633,0.8822490126792766,0.6749116607773852,0.0,0.34003758772451664
TUBB,0.4028268551236749,1.0,0.03565365025466882,0.4048558189006534,0.25,0.5,0.5,0.911660777385159,0.9803921568627452,0.1260306242638398,0.8,0.0,0.7014134275618374,0.03565365025466882,0.32742790945032674,0.5,0.9460264671239521,0.1260306242638398,0.8,0.490936011236375
SCFD1,0.3992932862190813,1.0,0.001697792869269965,0.0,0.0,0.6510791366906474,1.0,0.13074204946996468,0.5294117647058824,0.3851590106007067,0.0,1.0,0.6996466431095406,0.001697792869269965,0.0,0.8255395683453237,0.33007690708792353,0.3851590106007067,0.0,0.3203028460018235
NOC4L,0.3957597173144876,1.0,0.038200339558573826,0.0,0.0,0.7517985611510791,1.0,0.26148409893992935,0.6928104575163399,0.6584216725559481,0.0,1.0,0.6978798586572438,0.038200339558573826,0.0,0.8758992805755396,0.47714727822813463,0.6584216725559481,0.0,0.3925069185107771
AASDHPPT,0.392226148409894,0.2777777777777778,0.8497453310696095,0.19994423668822545,0.25,0.6474820143884892,1.0,0.1519434628975265,0.3856209150326797,0.3498233215547703,0.25,1.0,0.3350019630938359,0.8497453310696095,0.22497211834411274,0.8237410071942446,0.2687821889651031,0.3498233215547703,0.25,0.44315227574595367
CCNK,0.38869257950530034,1.0,0.001697792869269965,0.0,0.0,0.4460431654676259,1.0,0.5795053003533569,0.8562091503267973,0.7608951707891638,0.6,0.0,0.6943462897526502,0.001697792869269965,0.0,0.7230215827338129,0.7178572253400771,0.7608951707891638,0.6,0.49968829449785346
MT1E,0.38515901060070673,0.5694444444444444,0.6494057724957556,0.0,0.0,0.17266187050359713,1.0,0.1413427561837456,0.4313725490196078,0.3533568904593639,0.0,0.0,0.4773017275225756,0.6494057724957556,0.0,0.5863309352517986,0.28635765260167667,0.3533568904593639,0.0,0.33610756833302435
