gene,rank_full,expert_composite,novelty_tier,novelty_corrected,is_dependency_poscontrol,f_dep_selectivity,f_dep_breadth,f_pan_ess_penalty,f_sl_strength,f_sl_breadth,f_sc_specificity,f_sc_tme_penalty,f_tumor_enrichment,f_tumor_prevalence,f_safety,f_tractability,f_novelty,cat_dependency,cat_selectivity,cat_synthetic_lethality,cat_tumor_specificity,cat_tumor_enrichment,cat_therapeutic_window,cat_tractability
C19orf53,32,0.5317974311401013,novel,1.0,False,0.8268551236749117,0.8055555555555556,0.3565365025466893,0.2185124480898787,0.25,0.9424460431654677,1.0,0.6113074204946997,0.9869281045751634,0.3404004711425206,0.25,1.0,0.8162053396152336,0.3565365025466893,0.2342562240449393,0.9712230215827338,0.7991177625349315,0.3404004711425206,0.25
SNRPB2,33,0.5313853751170408,novel,1.0,False,0.8374558303886925,0.8333333333333334,0.3395585738539898,0.2108405189751295,0.25,0.2158273381294964,1.0,0.8056537102473498,0.9869281045751634,0.6042402826855123,0.25,1.0,0.8353945818610129,0.3395585738539898,0.2304202594875647,0.6079136690647482,0.8962909074112566,0.6042402826855123,0.25
GGPS1,34,0.5307863083918601,has_sm_chemistry,0.5,False,0.1095406360424028,1.0,0.033106960950764,0.0,0.0,0.9244604316546764,1.0,0.4805653710247349,0.954248366013072,0.6301531213191991,1.0,0.0,0.5547703180212014,0.033106960950764,0.0,0.962230215827338,0.7174068685189035,0.6301531213191991,1.0
DSCC1,35,0.5301280973231774,novel,1.0,False,0.5901060070671378,0.3055555555555556,0.8234295415959253,0.0,0.0,0.8129496402877698,1.0,0.939929328621908,0.9869281045751634,0.8939929328621908,0.0,1.0,0.4478307813113467,0.8234295415959253,0.0,0.9064748201438848,0.9634287165985358,0.8939929328621908,0.0
CTDNEP1,36,0.5293917817639415,novel,1.0,False,0.9823321554770318,0.75,0.6129032258064516,0.2919610480939646,0.25,0.3201438848920863,1.0,0.6713780918727915,0.9738562091503268,0.4040047114252061,0.0,1.0,0.8661660777385158,0.6129032258064516,0.2709805240469823,0.6600719424460432,0.8226171505115591,0.4040047114252061,0.0
INTS12,37,0.5290354451231487,novel,1.0,False,0.8127208480565371,0.6805555555555556,0.5118845500848896,0.0,0.0,0.8525179856115108,1.0,0.8197879858657244,0.9869281045751634,0.7714958775029447,0.0,1.0,0.7466382018060463,0.5118845500848896,0.0,0.9262589928057554,0.903358045220444,0.7714958775029447,0.0
TIMM9,38,0.5280531948173277,novel,1.0,False,0.8833922261484098,0.8055555555555556,0.4346349745331069,0.0,0.0,0.5827338129496403,1.0,0.5547703180212014,0.954248366013072,0.5606595995288575,0.25,1.0,0.8444738908519827,0.4346349745331069,0.0,0.7913669064748201,0.7545093420171367,0.5606595995288575,0.25
CDK7,39,0.5276665452590537,has_sm_chemistry,0.5,False,0.0247349823321554,1.0,0.0008488964346348,0.2001732321769808,0.25,0.6654676258992805,1.0,0.3710247349823322,0.8888888888888888,0.6819787985865725,1.0,0.0,0.5123674911660777,0.0008488964346348,0.2250866160884904,0.8327338129496402,0.6299568119356105,0.6819787985865725,1.0
TEAD1,40,0.5275122985050839,has_sm_chemistry,0.5,False,0.1872791519434629,0.2361111111111111,0.83276740237691,0.0,0.0,0.4100719424460431,1.0,0.8091872791519434,0.8823529411764706,0.5170789163722026,0.8,0.0,0.211695131527287,0.83276740237691,0.0,0.7050359712230216,0.845770110164207,0.5170789163722026,0.8
UBE2C,41,0.5209445416004571,novel,1.0,False,0.7385159010600707,0.875,0.233446519524618,0.0,0.0,0.8201438848920863,1.0,1.0,1.0,0.9599528857479388,0.0,1.0,0.8067579505300353,0.233446519524618,0.0,0.9100719424460432,1.0,0.9599528857479388,0.0
